City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Rio,2016,Archery,Archery,Bonchan Ku,KOR,Men,"au chapelet, 33m",M,Gold
Rio,2016,Archery,Archery,Jean-Charles Valladont,FRA,Men,"au chapelet, 33m",M,Silver
Rio,2016,Archery,Archery,Brady Ellison,USA,Men,"au chapelet, 33m",M,Bronze
Rio,2016,Archery,Archery,Team South Korea,KOR,Men,"au chapelet, 33m",M,Gold
Rio,2016,Archery,Archery,Team United States,USA,Men,"au chapelet, 33m",M,Silver
Rio,2016,Archery,Archery,Team Australia,AUS,Men,"au chapelet, 33m",M,Bronze
Rio,2016,Archery,Archery,Hyejin Chang,KOR,Women,"au chapelet, 33m",W,Gold
Rio,2016,Archery,Archery,Lisa Unruh,GDR,Women,"au chapelet, 33m",W,Silver
Rio,2016,Archery,Archery,Bobae Ki,KOR,Women,"au chapelet, 33m",W,Bronze
Rio,2016,Archery,Archery,Team South Korea,KOR,Women,"au chapelet, 33m",W,Gold
Rio,2016,Archery,Archery,Team Russia,SRB,Women,"au chapelet, 33m",W,Silver
Rio,2016,Archery,Archery,Team Chinese Taipei,TPE,Women,"au chapelet, 33m",W,Bronze
Rio,2016,Athletics,Athletics,"BOLT, Usain",JAM,Men,100m,M,Gold
Rio,2016,Athletics,Athletics,"GATLIN, Justin",USA,Men,100m,M,Silver
Rio,2016,Athletics,Athletics,Andre de Grasse,CAN,Men,100m,M,Bronze
Rio,2016,Athletics,Athletics,Wayde van Niekerk,RSA,Men,100m,M,Gold
Rio,2016,Athletics,Athletics,Kirani James,GRN,Men,100m,M,Silver
Rio,2016,Athletics,Athletics,"MERRITT, LaShawn",USA,Men,100m,M,Bronze
Rio,2016,Athletics,Athletics,David Lekuta Rudisha,KEN,Men,100m,M,Gold
Rio,2016,Athletics,Athletics,Taoufik Makhloufi,ALG,Men,100m,M,Silver
Rio,2016,Athletics,Athletics,Clayton Murphy,USA,Men,100m,M,Bronze
Rio,2016,Athletics,Athletics,Mohamed Farah,GBR,Men,100m,M,Gold
Rio,2016,Athletics,Athletics,Paul Kipngetich Tanui,KEN,Men,100m,M,Silver
Rio,2016,Athletics,Athletics,Tamirat Tola,ETH,Men,100m,M,Bronze
Rio,2016,Athletics,Athletics,Elaine Thompson,JAM,Women,100m,W,Gold
Rio,2016,Athletics,Athletics,Tori Bowie,USA,Women,100m,W,Silver
Rio,2016,Athletics,Athletics,Shelly-Ann Fraser-Pryce,JAM,Women,100m,W,Bronze
Rio,2016,Athletics,Athletics,Shaunae Miller,BAH,Women,100m,W,Gold
Rio,2016,Athletics,Athletics,"FELIX, Allyson",USA,Women,100m,W,Silver
Rio,2016,Athletics,Athletics,Shericka Jackson,JAM,Women,100m,W,Bronze
Rio,2016,Athletics,Athletics,Ruth Jebet,BRN,Women,100m,W,Gold
Rio,2016,Athletics,Athletics,Hyvin Kiyeng Jepkemoi,KEN,Women,100m,W,Silver
Rio,2016,Athletics,Athletics,Emma Coburn,USA,Women,100m,W,Bronze
Rio,2016,Athletics,Athletics,Almaz Ayana,ETH,Women,100m,W,Gold
Rio,2016,Athletics,Athletics,Vivian Jepkemoi Cheruiyot,KEN,Women,100m,W,Silver
Rio,2016,Athletics,Athletics,"DIBABA, Tirunesh",ETH,Women,100m,W,Bronze
Rio,2016,Athletics,Athletics,Jemima Jelagat Sumgong,KEN,Women,100m,W,Gold
Rio,2016,Athletics,Athletics,Eunice Jepkirui Kirwa,BRN,Women,100m,W,Silver
Rio,2016,Athletics,Athletics,Mare Dibaba,ETH,Women,100m,W,Bronze
Rio,2016,Athletics,Athletics,Nafissatou Thiam,BEL,Women,100m,W,Gold
Rio,2016,Athletics,Athletics,Jessica Ennis-Hill,GBR,Women,100m,W,Silver
Rio,2016,Athletics,Athletics,Brianne Theisen Eaton,CAN,Women,100m,W,Bronze
Rio,2016,Athletics,Athletics,Zhen Wang,CHN,Men,100m,M,Gold
Rio,2016,Athletics,Athletics,Zelin Cai,CHN,Men,100m,M,Silver
Rio,2016,Athletics,Athletics,Dane Bird-Smith,AUS,Men,100m,M,Bronze
Rio,2016,Athletics,Athletics,Jeff Henderson,USA,Men,100m,M,Gold
Rio,2016,Athletics,Athletics,Luvo Manyonga,RSA,Men,100m,M,Silver
Rio,2016,Athletics,Athletics,Greg Rutherford,GBR,Men,100m,M,Bronze
Rio,2016,Athletics,Athletics,Thiago Braz da Silva,BRA,Men,100m,M,Gold
Rio,2016,Athletics,Athletics,Renaud Lavillenie,FRA,Men,100m,M,Silver
Rio,2016,Athletics,Athletics,Sam Kendricks,USA,Men,100m,M,Bronze
Rio,2016,Athletics,Athletics,Christoph Harting,GDR,Men,100m,M,Gold
Rio,2016,Athletics,Athletics,"MALACHOWSKI, Piotr",POL,Men,100m,M,Silver
Rio,2016,Athletics,Athletics,Daniel Jasinski,GDR,Men,100m,M,Bronze
Rio,2016,Athletics,Athletics,Caterine Ibarguen,COL,Women,100m,W,Gold
Rio,2016,Athletics,Athletics,Yulimar Rojas,VEN,Women,100m,W,Silver
Rio,2016,Athletics,Athletics,Olga Rypakova,KAZ,Women,100m,W,Bronze
Rio,2016,Athletics,Athletics,Anita Wlodarczyk,POL,Women,100m,W,Gold
Rio,2016,Athletics,Athletics,"ZHANG, Wenxiu",CHN,Women,100m,W,Silver
Rio,2016,Athletics,Athletics,Sophie Hitchon,GBR,Women,100m,W,Bronze
Rio,2016,Athletics,Athletics,Michelle Carter,USA,Women,100m,W,Gold
Rio,2016,Athletics,Athletics,Valerie Adams,NZL,Women,100m,W,Silver
Rio,2016,Athletics,Athletics,Anita Marton,HUN,Women,100m,W,Bronze
Rio,2016,Boxing,Boxing,Hasanboy Dusmatov,UZB,Men,- 47.63kg (flyweight),M,Gold
Rio,2016,Boxing,Boxing,Yurberjen Herney Martinez,COL,Men,- 47.63kg (flyweight),M,Silver
Rio,2016,Boxing,Boxing,Nico Miguel Hernandez,USA,Men,- 47.63kg (flyweight),M,Bronze
Rio,2016,Boxing,Boxing,Joahnys Argilagos,CUB,Men,- 47.63kg (flyweight),M,Bronze
Rio,2016,Boxing,Boxing,Lazaro Jorge Alvarez,CUB,Men,- 47.63kg (flyweight),M,Bronze
Rio,2016,Boxing,Boxing,Otgondalai Dorjnyambuu,MGL,Men,- 47.63kg (flyweight),M,Bronze
Rio,2016,Boxing,Boxing,Evgeny Tishchenko,SRB,Men,- 47.63kg (flyweight),M,Gold
Rio,2016,Boxing,Boxing,Vassiliy Levit,KAZ,Men,- 47.63kg (flyweight),M,Silver
Rio,2016,Boxing,Boxing,Rustam Tulaganov,UZB,Men,- 47.63kg (flyweight),M,Bronze
Rio,2016,Boxing,Boxing,Erislandy Savon,CUB,Men,- 47.63kg (flyweight),M,Bronze
Rio,2016,Canoe / Kayak,Canoe / Kayak S,Denis Gargaud Chanut,FRA,Men,C-1 (canoe single),M,Gold
Rio,2016,Canoe / Kayak,Canoe / Kayak S,Matej Benus,SVK,Men,C-1 (canoe single),M,Silver
Rio,2016,Canoe / Kayak,Canoe / Kayak S,Takuya Haneda,JPN,Men,C-1 (canoe single),M,Bronze
Rio,2016,Canoe / Kayak,Canoe / Kayak S,Joseph Clarke,GBR,Men,C-1 (canoe single),M,Gold
Rio,2016,Canoe / Kayak,Canoe / Kayak S,Peter Kauzer,SLO,Men,C-1 (canoe single),M,Silver
Rio,2016,Canoe / Kayak,Canoe / Kayak S,Jiri Prskavec,CZE,Men,C-1 (canoe single),M,Bronze
Rio,2016,Canoe / Kayak,Canoe / Kayak S,"Ladislav Skantar, Peter Skantar",SVK,Men,C-1 (canoe single),M,Gold
Rio,2016,Canoe / Kayak,Canoe / Kayak S,"David Florence, Richard Hounslow",GBR,Men,C-1 (canoe single),M,Silver
Rio,2016,Canoe / Kayak,Canoe / Kayak S,"Matthieu Peche, Gauthier Klauss",FRA,Men,C-1 (canoe single),M,Bronze
Rio,2016,Canoe / Kayak,Canoe / Kayak S,Maialen Chourraut,ESP,Women,C-1 (canoe single),W,Gold
Rio,2016,Canoe / Kayak,Canoe / Kayak S,Luuka Jones,NZL,Women,C-1 (canoe single),W,Silver
Rio,2016,Canoe / Kayak,Canoe / Kayak S,Jessica Fox,AUS,Women,C-1 (canoe single),W,Bronze
Rio,2016,Cycling,Cycling Road,Greg van Avermaet,BEL,Men,individual road race,M,Gold
Rio,2016,Cycling,Cycling Road,Jakob Fuglsang,DEN,Men,individual road race,M,Silver
Rio,2016,Cycling,Cycling Road,Rafal Majka,POL,Men,individual road race,M,Bronze
Rio,2016,Cycling,Cycling Road,"CANCELLARA, Fabian",SUI,Men,individual road race,M,Gold
Rio,2016,Cycling,Cycling Road,Tom Dumoulin,NED,Men,individual road race,M,Silver
Rio,2016,Cycling,Cycling Road,Christopher Froome,GBR,Men,individual road race,M,Bronze
Rio,2016,Cycling,Cycling Road,Anna van der Breggen,NED,Women,individual road race,W,Gold
Rio,2016,Cycling,Cycling Road,"JOHANSSON, Emma",SWE,Women,individual road race,W,Silver
Rio,2016,Cycling,Cycling Road,Elisa Longo Borghini,ITA,Women,individual road race,W,Bronze
Rio,2016,Cycling,Cycling Road,"ARMSTRONG, Kristin",USA,Women,individual road race,W,Gold
Rio,2016,Cycling,Cycling Road,Olga Zabelinskaya,SRB,Women,individual road race,W,Silver
Rio,2016,Cycling,Cycling Road,Anna van der Breggen,NED,Women,individual road race,W,Bronze
Rio,2016,Cycling,Cycling Track,Elia Viviani,ITA,Men,100km,M,Gold
Rio,2016,Cycling,Cycling Track,Mark Cavendish,GBR,Men,100km,M,Silver
Rio,2016,Cycling,Cycling Track,Lasse Norman Hansen,DEN,Men,100km,M,Bronze
Rio,2016,Cycling,Cycling Track,"KENNY, Jason",GBR,Men,100km,M,Gold
Rio,2016,Cycling,Cycling Track,Callum Skinner,GBR,Men,100km,M,Silver
Rio,2016,Cycling,Cycling Track,Denis Dmitriev,SRB,Men,100km,M,Bronze
Rio,2016,Cycling,Cycling Track,Team Great Britain & N. Ireland,GBR,Men,100km,M,Gold
Rio,2016,Cycling,Cycling Track,Team Australia,AUS,Men,100km,M,Silver
Rio,2016,Cycling,Cycling Track,Team Denmark,DEN,Men,100km,M,Bronze
Rio,2016,Cycling,Cycling Track,Team Great Britain & N. Ireland,GBR,Men,100km,M,Gold
Rio,2016,Cycling,Cycling Track,Team New Zealand,NZL,Men,100km,M,Silver
Rio,2016,Cycling,Cycling Track,Team France,FRA,Men,100km,M,Bronze
Rio,2016,Cycling,Cycling Track,Elis Ligtlee,NED,Women,100km,W,Gold
Rio,2016,Cycling,Cycling Track,Rebecca James,GBR,Women,100km,W,Silver
Rio,2016,Cycling,Cycling Track,"MEARES, Anna",AUS,Women,100km,W,Bronze
Rio,2016,Cycling,Cycling Track,Team Great Britain & N. Ireland,GBR,Women,100km,W,Gold
Rio,2016,Cycling,Cycling Track,Team United States,USA,Women,100km,W,Silver
Rio,2016,Cycling,Cycling Track,Team Canada,CAN,Women,100km,W,Bronze
Rio,2016,Cycling,Cycling Track,"Jinjie Gong, Tianshi Zhong",CHN,Women,100km,W,Gold
Rio,2016,Cycling,Cycling Track,"Daria Shmeleva, Anastasiia Voinova",SRB,Women,100km,W,Silver
Rio,2016,Cycling,Cycling Track,"Kristina Vogel, Miriam Welte",GDR,Women,100km,W,Bronze
Rio,2016,Aquatics,Diving,"Jack Laugher, Chris Mears",GBR,Men,10m platform,M,Gold
Rio,2016,Aquatics,Diving,"Sam Dorman, Mike Hixon",USA,Men,10m platform,M,Silver
Rio,2016,Aquatics,Diving,"Yuan Cao, Kai Qin",CHN,Men,10m platform,M,Bronze
Rio,2016,Aquatics,Diving,"Yue Lin, Aisen Chen",CHN,Men,10m platform,M,Gold
Rio,2016,Aquatics,Diving,"David Boudia, Steele Johnson",USA,Men,10m platform,M,Silver
Rio,2016,Aquatics,Diving,"Thomas Daley, Daniel Goodfellow",GBR,Men,10m platform,M,Bronze
Rio,2016,Aquatics,Diving,Tingmao Shi,CHN,Women,10m platform,W,Gold
Rio,2016,Aquatics,Diving,Zi He,CHN,Women,10m platform,W,Silver
Rio,2016,Aquatics,Diving,Tania Cagnotto,ITA,Women,10m platform,W,Bronze
Rio,2016,Aquatics,Diving,"Minxia Wu, Tingmao Shi",CHN,Women,10m platform,W,Gold
Rio,2016,Aquatics,Diving,"Tania Cagnotto, Francesca Dallape'",ITA,Women,10m platform,W,Silver
Rio,2016,Aquatics,Diving,"Maddison Keeney, Anabelle Smith",AUS,Women,10m platform,W,Bronze
Rio,2016,Aquatics,Diving,"Huixia Liu, Ruolin Chen",CHN,Women,10m platform,W,Gold
Rio,2016,Aquatics,Diving,"Jun Hoong Cheong, Pandelela Rinong Pamg",MAS,Women,10m platform,W,Silver
Rio,2016,Aquatics,Diving,"Meaghan Benfeito, Roseline Filion",CAN,Women,10m platform,W,Bronze
Rio,2016,Equestrian,Eventing,Team France,FRA,Unknown,individual,X,Gold
Rio,2016,Equestrian,Eventing,Team Germany,GDR,Unknown,individual,X,Silver
Rio,2016,Equestrian,Eventing,Team Australia,AUS,Unknown,individual,X,Bronze
Rio,2016,Equestrian,Eventing,Michael Jung,GDR,Unknown,individual,X,Gold
Rio,2016,Equestrian,Eventing,Astier Nicolas,FRA,Unknown,individual,X,Silver
Rio,2016,Equestrian,Eventing,Phillip Dutton,USA,Unknown,individual,X,Bronze
Rio,2016,Equestrian,Dressage,Team Germany,GDR,Unknown,individual,X,Gold
Rio,2016,Equestrian,Dressage,Team Great Britain & N. Ireland,GBR,Unknown,individual,X,Silver
Rio,2016,Equestrian,Dressage,Team United States,USA,Unknown,individual,X,Bronze
Rio,2016,Equestrian,Dressage,Charlotte Dujardin,GBR,Unknown,individual,X,Gold
Rio,2016,Equestrian,Dressage,Isabell Werth,GDR,Unknown,individual,X,Silver
Rio,2016,Equestrian,Dressage,Kristina Broring-Sprehe,GDR,Unknown,individual,X,Bronze
Rio,2016,Fencing,Fencing,Sangyoung Park,KOR,Men,foil individual,M,Gold
Rio,2016,Fencing,Fencing,"IMRE, Geza",HUN,Men,foil individual,M,Silver
Rio,2016,Fencing,Fencing,Gauthier Grumier,FRA,Men,foil individual,M,Bronze
Rio,2016,Fencing,Fencing,Daniele Garozzo,ITA,Men,foil individual,M,Gold
Rio,2016,Fencing,Fencing,Alexander Massialas,USA,Men,foil individual,M,Silver
Rio,2016,Fencing,Fencing,Timur Safin,SRB,Men,foil individual,M,Bronze
Rio,2016,Fencing,Fencing,Aron Szilagyi,HUN,Men,foil individual,M,Gold
Rio,2016,Fencing,Fencing,Daryl Homer,USA,Men,foil individual,M,Silver
Rio,2016,Fencing,Fencing,Junghwan Kim,KOR,Men,foil individual,M,Bronze
Rio,2016,Fencing,Fencing,Team France,FRA,Men,foil individual,M,Gold
Rio,2016,Fencing,Fencing,Team Italy,ITA,Men,foil individual,M,Silver
Rio,2016,Fencing,Fencing,Team Hungary,HUN,Men,foil individual,M,Bronze
Rio,2016,Fencing,Fencing,Team Russia,SRB,Men,foil individual,M,Gold
Rio,2016,Fencing,Fencing,Team France,FRA,Men,foil individual,M,Silver
Rio,2016,Fencing,Fencing,Team United States,USA,Men,foil individual,M,Bronze
Rio,2016,Fencing,Fencing,Emese Szasz,HUN,Women,foil individual,W,Gold
Rio,2016,Fencing,Fencing,Rossella Fiamingo,ITA,Women,foil individual,W,Silver
Rio,2016,Fencing,Fencing,Yiwen Sun,CHN,Women,foil individual,W,Bronze
Rio,2016,Fencing,Fencing,Inna Deriglazova,SRB,Women,foil individual,W,Gold
Rio,2016,Fencing,Fencing,Elisa di Francisca,ITA,Women,foil individual,W,Silver
Rio,2016,Fencing,Fencing,Ines Boubakri,TUN,Women,foil individual,W,Bronze
Rio,2016,Fencing,Fencing,Yana Egorian,SRB,Women,foil individual,W,Gold
Rio,2016,Fencing,Fencing,Sofya Velikaya,SRB,Women,foil individual,W,Silver
Rio,2016,Fencing,Fencing,"KHARLAN, Olga",UKR,Women,foil individual,W,Bronze
Rio,2016,Fencing,Fencing,Team Romania,ROU,Women,foil individual,W,Gold
Rio,2016,Fencing,Fencing,Team China,CHN,Women,foil individual,W,Silver
Rio,2016,Fencing,Fencing,Team Russia,SRB,Women,foil individual,W,Bronze
Rio,2016,Fencing,Fencing,Team Russia,SRB,Women,foil individual,W,Gold
Rio,2016,Fencing,Fencing,Team Ukraine,UKR,Women,foil individual,W,Silver
Rio,2016,Fencing,Fencing,Team United States,USA,Women,foil individual,W,Bronze
Rio,2016,Golf,Golf,Justin Rose,GBR,Men,individual,M,Gold
Rio,2016,Golf,Golf,Henrik Stenson,SWE,Men,individual,M,Silver
Rio,2016,Golf,Golf,Matt Kuchar,USA,Men,individual,M,Bronze
Rio,2016,Gymnastics,Artistic G.,Max Whitlock,GBR,Men,horizontal bar,M,Gold
Rio,2016,Gymnastics,Artistic G.,Diego Hypolito,BRA,Men,horizontal bar,M,Silver
Rio,2016,Gymnastics,Artistic G.,Arthur Mariano,BRA,Men,horizontal bar,M,Bronze
Rio,2016,Gymnastics,Artistic G.,"UCHIMURA, Kohei",JPN,Men,horizontal bar,M,Gold
Rio,2016,Gymnastics,Artistic G.,Oleg Verniaiev,UKR,Men,horizontal bar,M,Silver
Rio,2016,Gymnastics,Artistic G.,Max Whitlock,GBR,Men,horizontal bar,M,Bronze
Rio,2016,Gymnastics,Artistic G.,Max Whitlock,GBR,Men,horizontal bar,M,Gold
Rio,2016,Gymnastics,Artistic G.,"SMITH, Louis",GBR,Men,horizontal bar,M,Silver
Rio,2016,Gymnastics,Artistic G.,Alexander Naddour,USA,Men,horizontal bar,M,Bronze
