"Video title","Video id","Video length (minutes)","Video created","Watch time (minutes)",Views,"Average view duration","Average percentage viewed","Card clicks","Cards shown","Clicks per card shown","Card teaser clicks","Card teasers shown","Clicks per card teaser shown","End screen elements shown","End screen element clicks","Clicks per end screen element shown","Estimated partner revenue usd","Estimated partner ad revenue usd","Estimated partner adsense revenue usd","Estimated partner doubleclick revenue usd","Partner transaction revenue usd",Transactions,"Partner revenue per transaction usd","Estimated monetized playbacks","Playback based cpm usd","Ad impressions","Cpm usd","Youtube ad revenue usd","Youtube red watch time (minutes)","Youtube red views","Youtube red partner revenue usd","Youtube red watch time (hours)","Annotation clicks","Clickable annotations shown","Annotation click through rate","Annotation closes","Closable annotations shown","Annotation close rate","Annotations shown",Likes,"Likes added","Likes removed",Dislikes,"Dislikes added","Dislikes removed",Shares,Comments,"Videos in playlists","Videos added to playlists","Videos removed from playlists",Subscribers,"Subscribers gained","Subscribers lost","Watch time (hours)"
"Professor Stéphane Mallat: ""High-Dimensional Learning and Deep Neural Networks""",nHXO43BqeQw,59.57,03/31/2016,27669,3053,9.1,15.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,25,0,5,2,1702,0.12,8,27,29.63,1702,31,32,1,0,3,3,44,0,118,125,7,30,32,2,461
"Professor Luciano Floridi: ""Ethics in the Age of Information""",lLH70qkROWQ,74.78,03/31/2016,25773,2231,11.6,15.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,17,0,4,1,963,0.1,7,33,21.21,963,28,31,3,1,1,0,26,2,77,86,9,25,25,0,430
"The Role of Multi-Agent Learning in Artificial Intelligence Research at DeepMind",CvL-KV3IBcM,62.2,03/09/2017,24468,2924,8.4,13.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,55,0,10,0,12,0,0,12,0,12,39,43,4,0,1,1,42,1,113,127,14,46,46,0,408
"Professor Mark Girolami: ""Probabilistic Numerical Computation: A New Concept?""",Z3PSSJM7J9U,61.12,07/08/2016,21993,3034,7.2,11.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,12,0,1,1,1792,0.06,3,18,16.67,1792,25,25,0,0,0,0,29,2,121,132,11,39,39,0,367
"Professor Mike West: Structured Dynamic Graphical Models & Scaling Multivariate Time Series",nw9KjLBWf2o,73.77,08/01/2016,10444,1019,10.2,13.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,8,0,3,0,500,0,3,17,17.65,500,4,4,0,1,2,1,8,0,46,50,4,13,13,0,174
"The Problem of Governance in Distributed Ledger Technologies - Professor Vili Lehdonvirta, OII",eNrzE_UfkTw,25.38,11/11/2016,7830,1125,7,27.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,2,379,0.53,9,38,23.68,379,8,8,0,0,0,0,22,0,23,28,5,12,12,0,130
"Professor Mark Newman: ""Epidemics, Erdos numbers, and the Internet""",gPSt-xs_zWQ,55.47,04/01/2016,7714,693,11.1,20.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,363,0.55,4,14,28.57,363,10,10,0,0,0,0,10,1,40,40,0,8,8,0,129
"Turing Lecture: Smarter Cities - 2pm",L-QzV_SE_Nw,193.52,11/22/2016,7098,171,41.5,21.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,130,6,6,0,0,0,0,3,0,1,1,0,1,1,0,118
"Professor Mihaela van der Schaar, Oxford University",UyJvV0cxKmA,28.3,10/24/2016,6901,1421,4.9,17.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,13,0,1,0,270,0,10,27,37.04,270,10,10,0,0,0,0,9,0,11,11,0,7,7,0,115
"Professor Gareth Roberts: ""New challenges in Computational Statistics""",uqRYfAX_2z0,63.82,03/30/2016,6535,756,8.6,13.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,490,0,0,2,0,490,4,4,0,0,0,0,9,0,34,37,3,11,11,0,109
"Turing Lecture: Professor Jon Crowcroft, Cambridge University",UIH0Km4MnkU,58.53,11/04/2016,6478,866,7.5,12.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,6,0,2,0,422,0,6,23,26.09,422,5,6,1,0,0,0,8,3,16,19,3,6,6,0,108
"Professor Helen Margetts: ""The Data Science of Politics""",LH3vvA7PL1U,62.08,03/31/2016,6397,778,8.2,13.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,1,376,0.27,2,12,16.67,376,4,4,0,0,0,0,6,0,49,50,1,6,6,0,107
"Professor Peter O’Hearn: ""Reasoning with Big Code""",lcVx3g3SmmY,53.25,05/03/2016,5930,753,7.9,14.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,10,0,2,0,365,0,0,4,0,365,4,4,0,0,0,0,12,0,39,43,4,10,10,0,99
"Professor Zoubin Ghahramani, Cambridge University",qGvB0qno9OY,164.2,10/24/2016,5922,749,7.9,4.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,219,0,6,21,28.57,219,10,10,0,0,0,0,12,1,41,42,1,10,10,0,99
"Turing Lecture: Stats, Decision Making and Privacy",op8nMaD3lBY,184.7,12/01/2016,5442,181,30.1,16.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,2,1,1,1,0,91
"Turing Lecture: Data Science for Medicine",pp81ZiH8QtA,94.78,05/04/2017,5054,366,13.8,14.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,25,4,7,9,2,0,0,0,4,0,7,7,0,0,0,0,84
"Turing Lecture: Data Science, National Security and Systems Challenges - 2pm",5Vllceg838I,240.82,11/01/2016,4972,127,39.1,16.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,77,4,4,0,0,0,0,1,0,5,5,0,1,1,0,83
"Centrally Banked Cryptocurrencies - Dr Sarah Meiklejohn, UCL",y8D8CBvs6iY,32.62,11/11/2016,4725,1735,2.7,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,50,0,1,0,88,0,0,12,0,88,1,2,1,56,59,3,4,17,10,14,4,3,3,0,79
"What is data science?",OJy2h9mgiX8,2.83,12/02/2016,4442,2685,1.7,58.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,1,125,0.8,14,49,28.57,125,25,25,0,0,0,0,35,1,25,32,7,6,6,0,74
"Turing Lecture: Artificial Intelligence and Public Services",gX9Yt4-bvHs,186.13,12/13/2016,4401,146,30.1,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,1,2,1,0,0,0,73
"Ralf Herbrich: ""Learning Real-World Probabilistic Models with Approximate Message Passing""",VYJvIPqV9Og,53.5,04/18/2016,4153,616,6.7,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,376,0,2,5,40,376,2,2,0,0,0,0,5,0,53,56,3,7,7,0,69
"Doctoral Masterclass, Statistical Methodology and Theory : Professor Richard Samworth, Cambridge",5m3djtMGyHs,141.02,11/10/2016,3998,520,7.7,5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,4,0,1,1,136,0.74,5,21,23.81,136,7,7,0,0,0,0,1,0,9,9,0,4,4,0,67
"Turing Lecture: Professor Anthony Finkelstein, Chief Scientific Adviser for National Security",b2J93oxmVfg,68.37,11/04/2016,3319,367,9,13.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,148,0,2,16,12.5,148,0,0,0,0,0,0,2,0,6,9,3,4,4,0,55
"Doctoral Masterclasses LIVE: 11:30am - 12:30pm & 13:30pm - 16:30pm",COUFveUeVSs,325.2,10/13/2016,2946,128,23,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,1.04,0,0,0,96,2,2,0,0,0,0,0,0,3,4,1,0,0,0,49
"'Why start a startup?' - Matt Clifford, Entrepreneur First",n0wHJW8Z91k,157.65,10/26/2016,2871,164,17.5,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,1,10,10,97,1,1,0,0,0,0,2,0,8,9,1,2,2,0,48
"Turing Lecture: Sir Mark Walport, Artificial Intelligence and Public Services",o7BJEqyrDm4,74.68,02/01/2017,2711,285,9.5,12.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,18,0,13,13,0,3,3,0,45
"Targeting crimes and criminals through data, Dr Rick Adderley",XHxWAspGCyQ,88.02,01/04/2017,2594,210,12.4,14.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,10,0,3,0,3,0,0,3,0,3,0,0,0,0,0,0,3,0,13,16,3,0,0,0,43
"Professor Andrea Bertozzi: ""Geometric Graph-Based Methods for High Dimensional Data""",MsMe1G3UbMI,64.75,07/14/2016,2588,373,6.9,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,205,0.49,0,6,0,205,1,1,0,0,0,0,10,0,38,40,2,8,8,0,43
"Doctoral Masterclass: Tools and Techniques – Version control with Git",YNOxyqLkimE,61.1,11/11/2016,2454,340,7.2,11.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2,0,1,0,150,0,5,24,20.83,150,3,4,1,0,0,0,0,1,12,13,1,0,0,0,41
"RESUMES @ 2PM - Masterclass: Probabilistic Programming",FCtuWb5V9-s,243.43,05/05/2017,2309,177,13,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,0,14,14,0,0,0,0,38
"Turing Lecture: Chief Scientific Advisor for the Department of Transport, Phil Blythe",anEs-VKDqIs,78.38,12/01/2016,2245,220,10.2,13.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,7,14.29,19,1,1,0,0,0,0,3,0,7,7,0,0,0,0,37
"Doctoral Masterclass - Privacy - Professor George Danezis",VltNcmGvEVo,85.45,12/13/2016,2216,252,8.8,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,3,0,0,3,0,3,2,2,0,0,0,0,7,0,8,8,0,0,0,0,37
"The Turing Lectures: Mathematics",X0b0Kb906ts,123.02,03/18/2016,2041,336,6.1,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,250,0,0,0,0,250,6,6,0,0,0,0,10,0,8,12,4,14,14,0,34
"Professor Bin Yu: ""Unveiling the Mysteries in Spatial Gene Expression""",lVvTXARkyws,67.73,03/30/2016,1973,330,6,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,1,4,25,209,0,0,0,0,0,0,2,0,30,30,0,2,2,0,33
"Turing Lecture: Smarter Cities - Sir Alan Wilson, Turing CEO",y7ehrXZfIS0,54.03,12/01/2016,1959,432,4.5,8.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,22,0,0,13,0,22,0,0,0,0,0,0,1,0,7,7,0,7,7,0,33
"Fellow Short Talks: Dr Tomas Petricek, The Alan Turing Institute",aHjgpmzFjOA,25.88,12/15/2016,1918,414,4.6,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,6,0,3,6,50,6,4,4,0,0,0,0,4,0,13,17,4,3,3,0,32
"Professor Dame Julia Slingo: ""Big Data, Met Office and 21st Century Problems""",twTV8uwYIes,72.93,10/21/2016,1886,292,6.5,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,180,0,2,13,15.38,180,2,2,0,0,0,0,9,0,5,7,2,1,1,0,31
"Turing Lecture: John Pullinger, Mobilising the power of data to help Britain make better decisions",tFepMmoH9ng,76.27,12/15/2016,1880,194,9.7,12.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,0,3,3,0,31
"LIVE: 1:30pm - 4:30pm BST - The Alan Turing Institute - Doctoral Masterclass Programme",YauES7k73xs,205.17,10/10/2016,1852,103,18,8.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,78,4,4,0,0,0,0,2,0,0,0,0,0,0,0,31
"Turing Lecture: Dr Cynthia Dwork, Privacy-Preserving Data Analysis",vsA4w3itxA0,50.53,12/07/2016,1832,158,11.6,22.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,2,4,50,4,1,1,0,0,0,0,0,0,13,14,1,1,1,0,31
"Professor Brad Karp: ""Safeguarding Users’ Sensitive Data in the Cloud and the Browser""",vws4xF6gXmU,53.88,05/03/2016,1823,382,4.8,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,306,0,0,3,0,306,1,1,0,0,0,0,6,0,27,27,0,2,2,0,30
"Masterclass: Time Series Modelling and State Space Models",CN3D6zIMWWs,95.48,03/24/2017,1740,284,6.1,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,3,0,2,3,66.67,3,6,6,0,0,0,0,5,0,20,20,0,2,2,0,29
"Doctoral Masterclass: Visualization and Visual Analytics",UPlB_SeysZE,201.18,11/21/2016,1728,92,18.8,9.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"Magic Pony Technology: Artificial Intelligence, Neural Networks and Image Processing",MfPLSqeqXZg,105.35,03/07/2017,1723,140,12.3,11.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,3,3,0,0,0,0,29
"Doctoral Masterclass: Gavin Meggs, Sky UK",hrTNYKGzPOw,102.1,11/08/2016,1625,159,10.2,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,1,5,20,49,0,0,0,0,0,0,3,0,7,9,2,1,1,0,27
"Doctoral Masterclass, Statistical Methodology and Theory : Professor Richard Samworth, Cambridge",H2QE5MgvNQI,173.52,11/07/2016,1315,76,17.3,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,1,0,47,0,0,0,0,0,0,0,0,1,2,1,0,0,0,22
"Fellow Short Talks: Professor Andrew Blake, Alan Turing Institute Director",GnLU1sZLQR4,26.95,12/02/2016,1298,381,3.4,12.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,3,3,0,2,2,0,22
"Fellow Short Talks: Professor Zoubin Ghahramani, University of Cambridge",O3dnYsGVgQU,27.97,11/30/2016,1291,217,5.9,21.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,11,12,1,1,1,0,22
"Tim Harris: ""Systems Challenges in Graph Analytics""",f1cNkUkOsto,63.43,04/18/2016,1264,226,5.6,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,1,0,155,0,0,0,0,0,0,1,0,26,26,0,2,2,0,21
"Dr Bernie Hogan, Oxford University",i__0cG4ijrI,70.03,10/24/2016,1233,501,2.5,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,155,0,1,23,4.35,155,1,1,0,0,0,0,2,0,9,10,1,0,0,0,21
"LIVE AT 11am GMT - Beating Humans in Cognition: A Case for Microsoft Academic",5_9zDe8twC8,82.97,04/24/2017,1184,73,16.2,19.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,3,0,3,3,0,0,0,0,20
