Date,"Watch time (minutes)",Views,"Average view duration","Average percentage viewed","Card clicks","Cards shown","Clicks per card shown","Card teaser clicks","Card teasers shown","Clicks per card teaser shown","End screen elements shown","End screen element clicks","Clicks per end screen element shown","Estimated partner revenue usd","Estimated partner ad revenue usd","Estimated partner adsense revenue usd","Estimated partner doubleclick revenue usd","Partner transaction revenue usd",Transactions,"Partner revenue per transaction usd","Estimated monetized playbacks","Playback based cpm usd","Ad impressions","Cpm usd","Youtube ad revenue usd","Youtube red watch time (minutes)","Youtube red views","Youtube red partner revenue usd","Youtube red watch time (hours)","Annotation clicks","Clickable annotations shown","Annotation click through rate","Annotation closes","Closable annotations shown","Annotation close rate","Annotations shown","Videos published","Videos added",Likes,"Likes added","Likes removed",Dislikes,"Dislikes added","Dislikes removed",Shares,Comments,"Videos in playlists","Videos added to playlists","Videos removed from playlists",Subscribers,"Subscribers gained","Subscribers lost","Watch time (hours)"
2016-03-11,0,0,0.0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2016-03-18,155,55,2.8,2.29,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,28,0.00,0,0,0.00,28,1,1,0,0,0,0,0,0,0,0,3,3,0,6,6,0,3
2016-03-19,178,32,5.6,4.53,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,19,0.00,0,0,0.00,19,,,0,0,0,0,0,0,0,0,1,1,0,6,6,0,3
2016-03-20,183,20,9.2,7.46,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,11,0.00,0,0,0.00,11,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
2016-03-21,268,46,5.8,4.74,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,41,0.00,0,0,0.00,41,,,0,0,0,0,0,0,0,0,1,1,0,2,2,0,4
2016-03-22,14,5,2.8,2.24,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,4,0.00,0,0,0.00,4,,,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0
2016-03-23,63,7,9.0,7.34,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,5,0.00,0,0,0.00,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-03-24,64,8,8.0,6.47,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,4,0.00,0,0,0.00,4,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2016-03-25,48,8,6.0,4.85,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,10,0.00,0,0,0.00,10,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2016-03-26,14,1,14.1,11.46,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,1,0.00,0,0,0.00,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-27,95,7,13.6,11.04,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,4,0.00,0,0,0.00,4,,,1,1,0,0,0,0,0,0,0,0,0,2,2,0,2
2016-03-28,6,4,1.4,1.13,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,3,0.00,0,0,0.00,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-29,82,9,9.1,7.40,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,6,0.00,0,0,0.00,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-03-30,192,14,13.7,12.40,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,12,0.00,0,0,0.00,12,0,2,0,0,0,0,0,0,2,0,1,1,0,5,5,0,3
2016-03-31,32,23,1.4,1.28,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,19,0.00,0,0,0.00,19,0,3,1,1,0,0,0,0,0,0,0,0,0,2,2,0,1
2016-04-01,1791,231,7.8,10.67,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,67,3,0.00,1,0,160,0.00,0,0,0.00,160,5,1,7,7,0,0,0,0,5,0,12,13,1,14,14,0,30
2016-04-02,901,94,9.6,13.88,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,12,2,0.00,0,0,50,0.00,0,0,0.00,50,,,2,2,0,0,0,0,1,0,4,4,0,5,5,0,15
2016-04-03,569,62,9.2,13.02,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,2,0.00,0,0,41,0.00,0,0,0.00,41,,,2,2,0,0,0,0,1,0,1,1,0,3,3,0,9
2016-04-04,594,79,7.5,11.03,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,67,0.00,0,0,0.00,67,,,1,2,1,0,0,0,0,0,1,1,0,1,1,0,10
2016-04-05,409,43,9.5,12.66,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,37,0.00,0,0,0.00,37,,,0,0,0,0,0,0,0,0,0,0,0,2,2,0,7
2016-04-06,661,82,8.1,11.99,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,61,0.00,0,0,0.00,61,,,2,2,0,0,0,0,2,0,4,4,0,10,10,0,11
2016-04-07,234,31,7.5,8.86,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,30,0.00,0,0,0.00,30,,,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4
2016-04-08,391,37,10.6,15.38,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,23,0.00,0,0,0.00,23,,,1,2,1,0,0,0,2,0,1,4,3,2,2,0,7
2016-04-09,229,15,15.3,22.20,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,11,0.00,0,0,0.00,11,,,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4
2016-04-10,129,22,5.9,8.99,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,16,0.00,0,0,0.00,16,,,1,1,0,0,0,0,6,0,0,0,0,2,2,0,2
2016-04-11,288,32,9.0,12.56,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,26,0.00,0,0,0.00,26,,,0,0,0,0,0,0,0,0,2,2,0,0,0,0,5
2016-04-12,263,39,6.8,9.48,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,35,0.00,0,0,0.00,35,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4
2016-04-13,312,31,10.1,13.18,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,23,0.00,0,0,0.00,23,,,1,1,0,0,0,0,0,0,0,0,0,1,1,0,5
2016-04-14,131,18,7.3,9.58,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,15,0.00,0,0,0.00,15,,,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2
2016-04-15,132,22,6.0,8.07,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,20,0.00,0,0,0.00,20,,,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2
2016-04-16,82,10,8.2,10.46,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,8,0.00,0,0,0.00,8,,,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1
2016-04-17,316,19,16.6,24.40,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,15,0.00,0,0,0.00,15,,,1,1,0,0,0,0,0,0,1,1,0,0,0,0,5
2016-04-18,459,72,6.4,9.05,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,62,0.00,0,0,0.00,62,2,2,2,2,0,0,0,0,0,0,10,10,0,4,5,1,8
2016-04-19,160,62,2.6,4.27,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,49,0.00,0,0,0.00,49,,,0,0,0,0,0,0,0,0,4,4,0,2,2,0,3
2016-04-20,65,25,2.6,4.29,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,21,0.00,0,0,0.00,21,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-04-21,223,26,8.6,13.83,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,23,0.00,0,0,0.00,23,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4
2016-04-22,391,33,11.8,18.65,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,30,0.00,0,0,0.00,30,,,0,0,0,0,0,0,0,0,0,0,0,2,2,0,7
2016-04-23,355,20,17.7,27.60,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,20,0.00,0,0,0.00,20,,,0,0,0,0,0,0,1,0,1,1,0,3,3,0,6
2016-04-24,167,19,8.8,14.32,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,18,0.00,0,0,0.00,18,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2016-04-25,372,29,12.8,20.43,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,23,0.00,0,0,0.00,23,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2016-04-26,395,67,5.9,9.34,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,60,0.00,0,0,0.00,60,,,0,0,0,0,0,0,8,0,1,1,0,3,4,1,7
2016-04-27,237,51,4.6,7.71,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,36,0.00,0,0,0.00,36,,,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4
2016-04-28,308,56,5.5,8.30,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,51,0.00,0,0,0.00,51,,,0,0,0,0,0,0,7,0,1,1,0,3,3,0,5
2016-04-29,166,33,5.0,8.24,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,29,0.00,0,0,0.00,29,,,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3
2016-04-30,253,24,10.6,16.80,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,71,2,0.00,1,0,18,0.00,0,0,0.00,18,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4
2016-05-01,256,12,21.3,32.79,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,10,0.00,0,0,0.00,10,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4
2016-05-02,39,8,4.9,7.47,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,7,0.00,0,0,0.00,7,,,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1
2016-05-03,129,24,5.4,8.38,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,24,0.00,0,0,0.00,24,0,2,0,0,0,0,0,0,0,0,2,2,0,1,1,0,2
2016-05-04,804,99,8.1,13.89,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,82,0.00,0,0,0.00,82,2,0,0,0,0,0,0,0,0,0,3,3,0,2,2,0,13
2016-05-05,351,45,7.8,13.89,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,34,0.00,0,0,0.00,34,,,0,0,0,0,0,0,0,0,9,9,0,2,2,0,6
2016-05-06,183,50,3.7,6.31,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,45,0.00,0,0,0.00,45,,,0,0,0,0,0,0,4,0,2,2,0,0,0,0,3
2016-05-07,304,26,11.7,20.32,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,16,0.00,0,0,0.00,16,,,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5
2016-05-08,369,41,9.0,14.73,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,36,0.00,0,0,0.00,36,,,1,1,0,0,0,0,1,0,0,0,0,2,2,0,6
2016-05-09,305,37,8.2,14.16,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,31,0.00,0,0,0.00,31,,,0,0,0,0,0,0,2,0,1,1,0,0,0,0,5
2016-05-10,250,31,8.1,13.44,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,27,0.00,0,0,0.00,27,,,0,0,0,0,0,0,0,0,2,2,0,1,1,0,4
2016-05-11,231,28,8.2,13.15,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,24,0.00,0,0,0.00,24,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4
2016-05-12,150,22,6.8,11.45,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,21,0.00,0,0,0.00,21,,,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3
2016-05-13,124,16,7.8,13.92,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,14,0.00,0,0,0.00,14,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
2016-05-14,52,8,6.5,11.24,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,7,0.00,0,0,0.00,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-05-15,186,7,26.5,46.47,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,5,0.00,0,0,0.00,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2016-05-16,279,37,7.5,12.69,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,34,0.00,0,0,0.00,34,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5
2016-05-17,311,35,8.9,14.80,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,34,0.00,0,0,0.00,34,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2016-05-18,229,25,9.2,15.44,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,20,0.00,0,0,0.00,20,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2016-05-19,204,23,8.9,13.09,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,20,0.00,0,0,0.00,20,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
2016-05-20,316,21,15.1,24.50,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,22,0.00,0,0,0.00,22,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
2016-05-21,35,13,2.7,4.57,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,9,0.00,0,0,0.00,9,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2016-05-22,269,28,9.6,16.21,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,27,0.00,0,0,0.00,27,,,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4
2016-05-23,330,23,14.3,24.99,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,20,0.00,0,0,0.00,20,,,1,1,0,0,0,0,0,0,1,1,0,1,1,0,5
2016-05-24,115,20,5.8,9.95,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,18,0.00,0,0,0.00,18,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
2016-05-25,238,39,6.1,10.05,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,38,0.00,0,0,0.00,38,,,1,1,0,0,0,0,0,0,0,0,0,1,1,0,4
2016-05-26,288,27,10.7,17.93,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,36,2,0.00,1,0,13,0.00,0,0,0.00,13,,,0,0,0,0,0,0,3,0,1,1,0,0,0,0,5
2016-05-27,262,19,13.8,23.08,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,14,0.00,0,0,0.00,14,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4
2016-05-28,90,10,9.0,14.75,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,8,0.00,0,0,0.00,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-05-29,384,14,27.5,43.31,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,11,0.00,0,0,0.00,11,,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6
2016-05-30,687,49,14.0,20.78,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,13,1,0.00,0,0,31,0.00,0,0,0.00,31,,,3,3,0,0,0,0,3,0,1,1,0,2,2,0,11
2016-05-31,396,58,6.8,10.10,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,49,0.00,0,0,0.00,49,,,0,0,0,0,0,0,1,1,1,1,0,0,0,0,7
2016-06-01,646,53,12.2,19.41,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,42,0.00,0,0,0.00,42,,,0,0,0,0,0,0,0,0,3,3,0,2,2,0,11
2016-06-02,210,20,10.5,17.02,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,18,0.00,0,0,0.00,18,,,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4
2016-06-03,155,16,9.7,16.16,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0,0,14,0.00,0,0,0.00,14,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
